Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	3.4048505	0.0	3.4048505	3.4048505	5060.0	0.0	5060.0	5060.0	1000.0	5060.0	5.06	0.66033727	0.4263889	1.701399	-0.74276435	-0.38318133	0.19867113	0.4428007	-0.9914533	3.8146974e-09	0.0010197954	-2.3727416e-06	4.190488	0.5582946	-0.46768415	287604.4	-36185.97	0	0	1.0	1.837877	0.040223446	1000	13.693144798278809
1	-1.2947216	0.0	-1.2947216	-1.2947216	0.0	0.0	0.0	0.0	1000.0	5060.0	2.53	0.45168227	0.31718045	1.3258923	-0.44155818	40.11886	0.45796496	40.19308	32.9227	-3.576279e-08	0.065360606	8.673668e-07	0.0056944145	0.6197342	-0.59484476	1370.0322	33.609497	0	0	1.0	1.8387449	0.09771721	2000	25.455700397491455
2	-0.2160353	0.0	-0.2160353	-0.2160353	3610.0	0.0	3610.0	3610.0	1000.0	8670.0	2.89	-0.12397701	0.33519182	0.7175273	-1.0637791	40.543232	1.560243	40.66463	-1.6584514	-1.4781952e-08	-0.0070076576	3.917694e-06	0.76307124	0.54024774	-0.4591094	143038.8	-11763.172	0	0	5.0	1.8392639	0.010465919	3000	37.11655521392822
3	4.682869	0.0	4.682869	4.682869	5190.0	0.0	5190.0	5190.0	1000.0	13860.0	3.465	-0.4989677	0.63876057	1.0020553	-2.4391682	59.496437	1.606057	59.691685	25.31855	1.4305115e-09	-0.009887506	-4.3411255e-06	1.2206932	1.5237113	-1.3533067	280860.53	-22844.375	0	0	2.0	1.8390647	0.0058448003	4000	48.0620002746582
4	1.200994	0.0	1.200994	1.200994	0.0	0.0	0.0	0.0	1000.0	13860.0	2.772	0.3713529	0.2943016	1.3072033	-0.42071548	86.302185	0.1782162	86.31945	81.261	1.1920929e-08	-0.026875278	-3.7956238e-07	0.021514865	0.18904883	-0.15288004	6340.127	-257.8838	0	0	20.0	1.838808	0.011796631	5000	59.532485246658325
5	-1.4303943	0.0	-1.4303943	-1.4303943	5570.0	0.0	5570.0	5570.0	1000.0	19430.0	3.2383333333333333	0.27232072	0.352072	1.4716105	-0.7172125	84.11538	5.865813	84.65654	-33.189934	-1.66893e-08	-0.011574905	2.3803711e-06	1.0200696	0.32005817	-0.2679866	291296.0	-21403.719	0	0	2.0	1.8322864	0.0141707305	6000	70.93751430511475
6	1.6703774	0.0	1.6703774	1.6703774	0.0	0.0	0.0	0.0	1000.0	19430.0	2.775714285714286	-0.1794505	0.2868648	0.4837374	-0.8341077	109.0165	1.8375808	109.10564	51.88602	5.2452087e-09	-0.017196463	6.8855286e-07	-0.030109104	0.28624964	-0.25098845	10121.766	-539.81934	0	0	8.0	1.8313956	0.014824233	7000	81.94429445266724
7	-0.6189419	0.0	-0.6189419	-0.6189419	0.0	0.0	0.0	0.0	1000.0	19430.0	2.42875	0.30123326	0.41941535	1.3458532	-0.7664061	106.35556	0.18066263	106.365005	100.676735	-1.0967255e-08	-0.020109238	-1.2607575e-06	-0.006672638	0.6631251	-0.6203573	9628.83	-1235.4473	0	0	7.0	1.8291664	0.015637362	8000	92.79486227035522
8	-0.6895161	0.0	-0.6895161	-0.6895161	0.0	0.0	0.0	0.0	1000.0	19430.0	2.158888888888889	0.012157089	0.3967804	1.0553452	-1.1883594	99.69989	0.3722722	99.72945	89.17984	4.053116e-09	-0.0075641456	-7.1907044e-07	0.00059019664	0.39155117	-0.2976952	8461.524	-1181.7725	0	0	2.0	1.8292686	0.0049323505	9000	103.49278044700623
9	-0.30790812	0.0	-0.30790812	-0.30790812	2800.0	0.0	2800.0	2800.0	1000.0	22230.0	2.223	-0.08580295	0.41806725	1.0832725	-1.2642688	92.82958	3.8358228	93.03871	-25.322329	7.152557e-09	-0.021621848	1.6860962e-06	-0.7968262	0.61854434	-0.59933203	52567.504	-3413.6172	0	0	16.0	1.8293681	0.011063631	10000	114.84563541412354
10	0.10649754	0.0	0.10649754	0.10649754	0.0	0.0	0.0	0.0	1000.0	22230.0	2.020909090909091	-0.71322036	0.5254287	0.62774926	-2.4458547	103.60913	3.041052	103.74971	8.536675	-1.0490417e-08	-0.015481235	1.2931823e-06	-0.017475955	1.1194208	-0.90050226	9144.052	-1060.2896	0	0	5.0	1.8292863	0.01785672	11000	126.27871322631836
11	-1.4749722	0.0	-1.4749722	-1.4749722	0.0	0.0	0.0	0.0	1000.0	22230.0	1.8525	0.22804175	0.32962197	1.2341937	-0.65883005	97.94056	5.029893	98.18808	-58.699432	-2.7179718e-08	-0.008325969	4.5776368e-08	0.0054667587	0.80696356	-0.7500856	8342.465	-4600.318	0	0	2.0	1.8285544	0.0066481717	12000	137.0848786830902
12	-0.089109436	0.0	-0.089109436	-0.089109436	0.0	0.0	0.0	0.0	1000.0	22230.0	1.71	-0.30005464	0.36286017	0.9884493	-1.3054751	68.001076	7.83479	77.97142	-25.246143	-1.3351441e-08	-0.0122738825	-1.0910035e-06	0.06517196	0.58127725	-0.5421397	3960.119	-3781.39	0	0	4.0	1.8279707	0.0090722805	13000	147.8782057762146
13	0.15488853	0.0	0.15488853	0.15488853	4820.0	0.0	4820.0	4820.0	1000.0	27050.0	1.9321428571428572	0.31270862	0.23428757	1.1757699	-0.37496394	7.5981035	2.6608794	25.427433	-11.2456875	-1.4066696e-08	-0.009367046	-7.3699953e-06	1.0691856	0.7767637	-0.64036536	232915.64	-64033.406	0	0	2.0	1.826839	0.013879574	14000	158.81940841674805
14	0.8536606	0.0	0.8536606	0.8536606	0.0	0.0	0.0	0.0	1000.0	27050.0	1.8033333333333332	-0.16831604	0.42701158	1.0585729	-1.3971744	95.28243	0.76084507	97.01577	92.89658	1.9311905e-08	-0.009576242	-3.709793e-07	-0.010020206	0.41141355	-0.3716513	7740.101	-730.7969	0	0	6.0	1.8267213	0.020502683	15000	169.85177159309387
15	-2.304548	0.0	-2.304548	-2.304548	90.0	0.0	90.0	90.0	1000.0	27140.0	1.69625	-0.16925736	0.55800575	1.7845887	-2.0928493	90.32223	3.6129248	91.036804	43.361973	1.1920929e-09	-0.016558416	3.5095215e-07	0.07078198	0.42570996	-0.38751867	5790.1875	-5300.428	0	0	7.0	1.8281529	0.015454817	16000	181.56727480888367
16	-0.6442057	0.0	-0.6442057	-0.6442057	3480.0	0.0	3480.0	3480.0	1000.0	30620.0	1.8011764705882354	0.04626112	0.438404	1.0661091	-1.257527	20.305752	3.6625602	45.028915	-31.389874	-2.1457673e-08	-0.017641675	9.391784e-06	-0.8952734	0.4976859	-0.46149528	135981.58	-45564.555	0	0	6.0	1.8302286	0.01541786	17000	192.64760637283325
17	0.76876855	0.0	0.76876855	0.76876855	0.0	0.0	0.0	0.0	1000.0	30620.0	1.701111111111111	-0.18427524	0.31976742	0.6663828	-1.1255064	103.11009	3.7603822	105.71388	61.366146	9.775162e-09	-0.008867085	4.7683717e-08	-0.04189135	0.8807957	-0.80116856	9011.969	-2306.2788	0	0	4.0	1.8317912	0.014098446	18000	203.48618245124817
18	-0.2647705	0.0	-0.2647705	-0.2647705	2500.0	0.0	2500.0	2500.0	1000.0	33120.0	1.743157894736842	0.2355107	0.6518315	1.9428135	-1.4783607	85.53957	18.486471	94.748436	-72.52343	-7.629395e-09	-0.01030363	-1.8005371e-06	-1.0795938	0.4152942	-0.34428203	39597.016	-6639.457	0	0	6.0	1.8321912	0.010133359	19000	214.39565920829773
