Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
22	-311.06512	275.43335	-57.485836	-916.9663	-259.23016	199.34222	26.059889	-671.5788	1000.0	1000.0	716.0	1213.3112	3870.0	0.0	801.0	1475.635	5110.0	0.0	220000.0	31.879162	37.97868	271.98148	-19.846666	-32.493862	1.0614414	2363.403082370758
23	-370.57355	233.23781	-45.610966	-798.6901	-217.69995	134.95595	-60.378147	-603.69617	1000.0	1000.0	1153.0	2444.6843	7580.0	0.0	984.5	1876.5592	5100.0	0.0	230000.0	31.104721	41.44895	255.38617	-26.957361	-31.695887	1.1906613	2468.25683927536
24	-304.07684	132.28851	-26.562014	-500.57523	-368.68805	213.81335	0.45807222	-749.1041	1000.0	1000.0	231.0	526.2404	1770.0	0.0	1078.0	2205.4128	7180.0	0.0	240000.0	29.696898	44.121174	283.7087	-28.843616	-30.274103	1.3094771	2572.081954717636
25	-397.14542	220.72842	-17.638594	-737.9063	-319.67865	127.90578	7.2163607e-06	-510.3228	1000.0	1000.0	1092.0	2406.5278	7720.0	0.0	488.0	1090.3972	3820.0	0.0	250000.0	30.909801	47.00248	365.62155	-31.150467	-31.778141	1.6388215	2676.6131279468536
26	-287.91113	79.02017	-134.06839	-392.1404	-297.13177	173.66344	-5.2463694	-631.4455	1000.0	1000.0	1721.0	2088.054	5730.0	0.0	568.0	1097.6821	3850.0	0.0	260000.0	37.878513	53.448322	384.66977	-35.580044	-38.840683	1.8627098	2780.125993013382
27	-442.44244	207.98364	-95.81523	-791.45685	-347.57272	132.85255	-140.5633	-620.63806	1000.0	1000.0	1750.0	2141.0464	5890.0	0.0	852.5	1330.9653	4790.0	0.0	270000.0	42.065315	60.722824	417.38455	-37.486107	-42.923344	2.5376015	2884.0295674800873
28	-460.11777	175.38036	-87.747116	-698.7906	-240.42001	121.937675	-0.00038062775	-440.49902	1000.0	1000.0	99.0	297.0	990.0	0.0	773.5	1238.702	4120.0	0.0	280000.0	47.521214	66.95107	449.62424	-38.91863	-48.711086	2.6304736	2988.561591863632
29	-325.63104	151.93039	-128.67525	-640.8527	-214.11899	171.74455	90.12155	-476.46378	1000.0	1000.0	231.0	476.95807	1450.0	0.0	149.0	469.18973	2060.0	0.0	290000.0	55.069614	74.268524	498.4553	-34.96168	-56.20006	2.9670496	3091.8068306446075
30	-329.15253	156.9589	-162.71584	-747.92566	-242.79956	174.25034	-0.051619716	-536.3902	1000.0	1000.0	122.0	340.17053	1140.0	0.0	335.0	932.52075	3540.0	0.0	300000.0	62.528126	80.649536	578.0616	-32.512966	-63.920074	3.4370894	3195.334414243698
31	-304.9358	183.99098	-80.21727	-638.5807	-354.81357	207.61028	-0.44519195	-800.37054	1000.0	1000.0	0.0	0.0	0.0	0.0	254.5	715.6918	2740.0	0.0	310000.0	85.52913	102.47795	647.595	-33.181255	-88.05151	4.4574633	3299.926012277603
32	-328.1078	166.10298	-134.13118	-649.2803	-308.7216	158.95139	-80.3002	-600.61383	1000.0	1000.0	1055.0	1603.6224	4220.0	0.0	384.0	986.00916	3670.0	0.0	320000.0	119.8264	135.62927	562.06854	-36.29417	-123.07391	5.548611	3404.5289199352264
33	-209.49768	160.71541	0.97635686	-505.4876	-308.82358	201.23604	-2.1282342e-06	-759.56604	1000.0	1000.0	305.0	771.1712	2580.0	0.0	263.0	867.4566	3770.0	0.0	330000.0	169.08301	179.0968	601.70044	-41.481297	-173.22888	8.120481	3508.571686267853
34	-284.18613	204.09534	-72.03194	-597.7988	-251.46884	174.90977	0.89218074	-541.62726	1000.0	1000.0	10.0	30.0	100.0	0.0	64.0	196.1479	850.0	0.0	340000.0	204.32684	205.5166	593.98755	-41.442215	-207.467	9.339723	3615.2112789154053
35	-348.30353	224.80095	0.978742	-660.44525	-304.13574	185.43993	-17.800783	-596.0905	1000.0	1000.0	0.0	0.0	0.0	0.0	1459.5	1842.1277	5440.0	0.0	350000.0	213.68349	212.65364	592.1658	-39.341747	-216.19658	8.539673	3719.1446692943573
36	-362.88043	164.21951	-89.629974	-607.8117	-414.93158	177.31474	-91.92641	-668.7297	1000.0	1000.0	1252.0	2474.0	8040.0	0.0	381.0	967.4653	3710.0	0.0	360000.0	205.12343	205.94128	622.914	-40.184746	-206.88264	6.5504475	3822.8529617786407
37	-353.66983	148.15356	-155.41403	-621.2029	-285.43256	145.41595	-80.212	-520.3417	1000.0	1000.0	554.0	1090.0569	3530.0	0.0	601.5	1538.5975	6020.0	0.0	370000.0	184.93806	187.38568	618.0652	-34.244446	-186.42863	5.2629085	3927.204881668091
38	-358.47397	159.37643	-87.47838	-575.19806	-318.25708	158.94147	0.58644503	-559.29834	1000.0	1000.0	0.0	0.0	0.0	0.0	401.0	1181.2828	4110.0	0.0	380000.0	171.55849	174.29716	632.7849	-32.50754	-173.16547	5.0272403	4031.6811459064484
39	-349.28244	155.4951	-118.22167	-553.3455	-361.62054	184.58702	-6.459292	-704.5092	1000.0	1000.0	8.0	24.0	80.0	0.0	404.5	881.9267	3040.0	0.0	390000.0	160.09375	167.51122	655.45	-36.792664	-161.57643	5.052451	4135.336874961853
40	-325.2793	126.736946	-162.1254	-643.9501	-358.82214	132.6614	-72.3818	-515.66364	1000.0	1000.0	518.0	1270.1874	4280.0	0.0	603.0	1002.07336	3950.0	0.0	400000.0	150.17772	162.88715	661.50854	-35.629364	-151.87352	5.2316403	4239.949423551559
