Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
21	-0.062011153	0.665288	1.1302962	-1.2078848	0.0029076985	0.37769404	0.78065103	-0.958839	1000.0	1000.0	101.0	196.49173	650.0	0.0	4.0	17.435596	80.0	0.0	210000.0	659.3675	666.7909	1859.3463	-2.1553729	-661.30817	33.187088	2294.9446849823
22	0.13996848	0.25628626	0.65205437	-0.28413874	-0.18989441	0.45209965	0.68122977	-1.7027023	1000.0	1000.0	1034.0	1448.0829	3720.0	0.0	457.5	951.2406	3280.0	0.0	220000.0	606.4403	622.6027	2303.1335	-2.1911223	-622.2898	44.97902	2403.3669867515564
23	-0.13106863	0.48752388	0.6475037	-0.90274554	-0.1303157	0.52060133	0.7220233	-1.2158685	1000.0	1000.0	489.0	980.7798	2610.0	0.0	0.0	0.0	0.0	0.0	230000.0	999.7966	1014.47437	2868.6577	-2.0385199	-1021.2017	66.51245	2510.8213353157043
24	-0.104106866	0.31418285	0.5391947	-0.5447119	-0.099554256	0.43318945	0.8012478	-1.2066993	1000.0	1000.0	758.0	792.0833	2480.0	0.0	565.0	1204.5559	4310.0	0.0	240000.0	955.4307	967.02515	3238.4746	-2.5709963	-957.596	87.91705	2619.4650938510895
25	0.035507448	0.35652986	0.9235797	-0.6363819	-0.24494362	0.46522677	0.43669805	-1.7708865	1000.0	1000.0	55.0	146.09929	490.0	0.0	687.5	1198.3983	3970.0	0.0	250000.0	1069.1392	1093.9498	3528.1292	-2.5451677	-1097.1527	114.70393	2723.3473279476166
26	-0.18728784	0.62712145	0.951844	-1.5957755	-0.030991996	0.41227758	0.89301544	-0.84337306	1000.0	1000.0	1289.0	1763.3175	5100.0	0.0	178.0	488.78012	2020.0	0.0	260000.0	1213.7175	1229.4535	3980.653	-2.750977	-1215.4742	132.19394	2827.3036239147186
27	-0.12853062	0.63149387	0.7293356	-1.3810169	-0.16156836	0.47129554	0.6527107	-1.4608524	1000.0	1000.0	1326.0	1763.2709	4390.0	0.0	955.5	1337.72	4180.0	0.0	270000.0	1066.179	1095.3252	4235.9697	-1.8140972	-1091.6858	195.45195	2930.6866178512573
28	0.13166681	0.3937849	0.85591406	-0.6264189	-0.01746452	0.3076813	0.8614848	-0.60063386	1000.0	1000.0	171.0	341.27554	990.0	0.0	416.0	766.62506	2520.0	0.0	280000.0	1870.0614	1914.2726	5615.5503	-2.1923673	-1918.3314	280.4604	3034.031888961792
29	-0.13423851	0.22711533	0.15523022	-0.5818404	0.18707818	0.33699298	0.97643596	-0.3718179	1000.0	1000.0	286.0	508.07874	1330.0	0.0	203.0	478.9269	1970.0	0.0	290000.0	1546.8767	1653.6221	5946.598	-1.6254008	-1519.808	383.8955	3137.342271089554
30	-0.11250128	0.23429519	0.19235161	-0.63100195	-0.010558413	0.39592338	1.1130648	-0.7484326	1000.0	1000.0	12.0	25.612497	80.0	0.0	191.0	533.272	1860.0	0.0	300000.0	1416.8315	1572.7279	7699.365	-1.4861883	-1486.3817	564.1948	3241.1064331531525
31	0.27101043	0.3511786	0.97875184	-4.644534e-06	0.046117254	0.5777913	1.0985534	-1.1862957	1000.0	1000.0	212.0	636.0	2120.0	0.0	292.5	833.3179	3610.0	0.0	310000.0	3991.2249	4227.2173	12765.102	-1.3858225	-4156.3237	1066.6532	3345.5694847106934
32	-0.09719709	0.3155153	0.44331703	-0.76698107	0.14783254	0.4119492	0.93906224	-0.94639707	1000.0	1000.0	517.0	1040.7118	2980.0	0.0	4.5	14.309088	60.0	0.0	320000.0	5441.617	5487.6396	18545.637	-1.6925311	-5482.3145	2286.0981	3449.9436569213867
33	-0.1450868	0.3586367	0.2721679	-1.0084207	0.040403087	0.31425533	0.82068527	-0.81724644	1000.0	1000.0	686.0	1590.718	5230.0	0.0	9.0	39.23009	180.0	0.0	330000.0	5519.8535	5724.047	26747.787	-1.6539403	-5684.972	4137.8516	3553.61567234993
34	0.03012597	0.2756522	0.6028055	-0.5366738	-0.026919132	0.15522246	0.22693518	-0.56024396	1000.0	1000.0	31.0	63.0	180.0	0.0	194.5	593.0386	2280.0	0.0	340000.0	12416.459	13163.642	41467.234	-1.7213101	-12939.705	9718.279	3657.289355278015
