Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
31	-595.31665	314.96802	-82.83443	-1210.6508	-230.30801	193.08337	94.72784	-494.1739	1000.0	1000.0	309999	14843.435	1560.3234	21590.191	9023.668	-14935.21	16137.915	8545.925424575806
32	-252.17969	182.21628	-17.02072	-591.0616	-346.71463	205.33723	129.04613	-658.0819	1000.0	1000.0	319999	11272.352	1632.5712	21044.447	4725.665	-11304.007	12018.421	8826.98260307312
33	-316.30182	327.93512	123.225334	-830.86865	-379.35132	234.79095	-67.70011	-691.43225	1000.0	1000.0	329999	8251.351	1245.3835	17216.04	3636.1416	-8291.531	12489.448	9108.183508634567
34	-341.62646	225.37881	6.6551075	-790.5968	-409.54718	240.2697	-23.791779	-909.0714	1000.0	1000.0	339999	7363.9395	1218.781	16277.086	2294.1943	-7430.307	11426.9795	9390.261820077896
35	-269.8461	268.0921	112.44693	-687.4987	-374.47412	173.81927	-62.92742	-603.1101	1000.0	1000.0	349999	6398.4	1100.7169	14942.722	674.20715	-6433.8154	10322.358	9672.362298727036
36	-414.15228	169.06055	-92.8919	-638.2118	-242.90909	143.58308	-50.00615	-470.47482	1000.0	1000.0	359999	5667.9194	1291.2509	13603.124	-832.81067	-5733.7695	10058.333	9953.238344192505
37	-222.35147	161.85428	-15.084101	-504.91006	-423.93448	177.7172	-95.34394	-728.667	1000.0	1000.0	369999	6428.4517	1252.9291	11673.476	-654.1419	-6510.742	8545.161	10232.160355329514
38	-257.80542	122.37958	31.447773	-411.33392	-424.91107	190.54553	-74.184425	-761.5053	1000.0	1000.0	379999	6685.482	1053.2609	12858.011	1610.7345	-6740.718	8424.364	10511.26586508751
39	-547.7441	537.4687	-96.76627	-2011.9165	-1262.2156	567.8785	-480.92184	-2614.656	1000.0	1000.0	389999	7632.009	1481.955	12374.534	653.8245	-7735.3545	13243.588	10793.260435581207
40	-565.1695	397.30048	19.928305	-1249.9253	-302.71518	215.5368	40.213066	-673.15796	1000.0	1000.0	399999	6930.823	927.3839	13987.588	-31.6932	-6974.7935	11450.627	11074.755182027817
41	-348.60513	219.45842	45.052902	-805.0507	-225.09172	151.5338	49.98435	-509.24557	1000.0	1000.0	409999	6478.0576	1316.0042	11801.311	969.919	-6552.0596	12415.475	11354.240884542465
42	-389.13184	203.6823	-93.221664	-698.5648	-415.57095	174.28488	-195.0599	-701.9888	1000.0	1000.0	419999	6060.118	918.35565	9631.565	1594.8287	-6089.1953	5817.6304	11633.067317008972
43	-330.11182	215.71071	13.623034	-659.2527	-332.3729	232.8026	-51.299156	-672.4341	1000.0	1000.0	429999	4872.0737	859.7919	9121.588	1068.4863	-4918.3726	5741.526	11912.579176187515
44	-434.01538	201.76302	-86.111374	-785.43176	-430.7456	118.73007	-236.47821	-583.76416	1000.0	1000.0	439999	6912.5024	1720.0708	15143.632	1918.265	-7041.784	15679.36	12191.157706737518
45	-1787.2266	910.2974	-400.62268	-2853.2537	-515.8346	302.77222	-126.91556	-1250.3064	1000.0	1000.0	449999	7376.5806	1400.1049	14176.219	1232.3156	-7404.9023	15003.28	12471.94968342781
46	-247.82669	153.3781	-13.5304	-466.43304	-227.90536	168.63516	115.34568	-524.0127	1000.0	1000.0	459999	5397.551	1000.9823	10328.659	329.16974	-5437.156	12112.078	12752.07721877098
47	-345.15448	158.26651	-97.63616	-615.0659	-369.48352	289.10583	71.53614	-839.8337	1000.0	1000.0	469999	6008.452	3019.5994	19721.854	-8327.246	-6176.9336	44132.926	13030.167072534561
48	-419.7982	152.1458	-202.36006	-619.0358	-417.51407	257.18005	104.916695	-841.93274	1000.0	1000.0	479999	19543.479	7101.799	42004.723	418.9368	-20046.701	143149.1	13308.256570577621
49	-235.64291	120.33676	-68.96619	-433.1132	-229.30098	168.12549	94.303055	-603.7453	1000.0	1000.0	489999	24443.742	3342.7485	40143.72	2660.6055	-24582.682	87979.97	13586.988026380539
50	-216.77031	195.96873	54.956818	-556.25464	-393.08945	103.562546	-250.50159	-565.56915	1000.0	1000.0	499999	20249.584	3343.7903	35746.06	5606.75	-20436.283	69139.84	13866.095515966415
