Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
14	-214.54512	75.09935	-86.76827	-385.0642	449.5	1062.5087	4820.0	0.0	1000.0	286610.0	0.9553666666666667	-24.693571	1.2055616	-7.9569244	-26.0215	89.13437	1.4697174	98.42167	4.0905285	-1.2207031e-08	-0.011812234	1.171875e-06	0.07190782	63.30366	-12.673687	17748.898	-829.41016	0	0	1.658899	0.0	1.8931313	0.008873032	300000.0	2946.2274010181427
15	-298.7163	135.26233	-78.01641	-503.96393	245.0	865.04626	3920.0	0.0	1000.0	291510.0	0.91096875	-21.55139	2.0535269	-11.602791	-24.75571	75.23933	2.0675743	86.60525	-24.6706	-4.5776368e-08	-0.011969284	1.171875e-06	-0.051867384	221.77072	-54.1568	9793.502	-2070.1577	0	0	1.704112	0.0	1.887009	0.009082696	320000.0	3142.5410163402557
16	-265.86987	115.686424	-77.26754	-513.56934	550.5	1492.4928	5500.0	0.0	1000.0	302520.0	0.8897647058823529	-28.912941	1.1963849	9.869488	-29.254688	39.619617	9.85028	51.474792	-42.00486	-2.1362304e-08	-0.011692243	-2.1484375e-06	0.03134043	128.77536	-9.244835	28533.174	-416.18164	0	0	1.6880006	0.0	1.8976698	0.008980904	340000.0	3337.9751255512238
17	-298.3416	128.55206	-88.02333	-581.5343	1056.0	1731.5236	5380.0	0.0	1000.0	323640.0	0.899	-26.808676	2.0016317	-0.97633487	-28.363094	50.296383	2.5219371	59.579494	-44.773003	0.0	-0.012131427	2.34375e-06	-0.0069371094	158.8042	-18.452682	42680.707	-2126.5195	0	0	1.6182097	0.0	1.9445871	0.00878962	360000.0	3533.5290932655334
18	-239.9979	86.445145	-91.6208	-387.30582	461.0	1142.838	4050.0	0.0	1000.0	332860.0	0.8759473684210526	-29.215187	3.4554737	7.8292103	-33.334347	74.01969	8.448308	88.42451	-67.084595	-2.4414062e-08	-0.012304602	1.953125e-07	-0.010816406	101.439064	-30.796555	18543.965	-1552.2441	0	0	1.5854403	0.0	1.9210408	0.008773304	380000.0	3729.496909379959
19	-308.90308	127.38435	-89.72111	-617.13196	735.5	1546.5752	6760.0	0.0	1000.0	347570.0	0.868925	-24.638605	1.4846005	-6.8877306	-28.566523	46.11849	19.978905	96.469055	-51.14209	2.4414062e-08	-0.013290723	-1.5625e-06	0.044674218	177.79958	-43.951782	39809.645	-1789.9844	0	0	1.4916906	0.0	1.9039723	0.009031097	400000.0	3925.186343193054
20	-327.33163	162.98119	-89.17588	-628.9568	899.5	1443.3069	4600.0	0.0	1000.0	365560.0	0.8703809523809524	-30.136562	3.083496	14.779468	-34.1074	63.597977	23.575607	102.443436	-66.6987	-1.8310548e-08	-0.0124546075	0.0	-0.08782012	251.0203	-48.98149	33247.266	-1368.9688	0	0	1.6011558	0.0	1.9089804	0.008995716	420000.0	4120.778766155243
21	-320.98688	86.41574	-148.7456	-536.15924	529.0	1250.4755	4110.0	0.0	1000.0	376140.0	0.8548636363636364	-32.934658	4.5470233	-9.176923	-40.119347	76.36048	21.107115	107.07023	-77.01041	-6.1035155e-09	-0.012511132	7.8125e-07	-0.0040308596	108.821465	-21.95214	23706.855	-1592.9121	0	0	1.6328765	0.0	1.9072368	0.008890062	440000.0	4316.10449051857
22	-271.62042	90.36898	-102.92671	-502.47778	438.0	908.9257	2760.0	0.0	1000.0	384900.0	0.8367391304347827	-31.308422	3.8146129	-9.605729	-39.340485	55.313683	14.904214	104.554955	-42.51279	1.2207031e-08	-0.01319079	-1.171875e-06	-0.04176484	97.65658	-31.75898	14931.6	-833.7881	0	0	1.4761032	0.0	1.8950047	0.008518552	460000.0	4511.795403718948
23	-274.5866	105.94562	-46.85978	-464.39914	1273.0	1841.5566	5000.0	0.0	1000.0	410360.0	0.8549166666666667	-27.61319	3.2776222	-7.4317684	-38.52043	42.162586	12.719342	90.48758	-28.801306	0.0	-0.012583823	3.90625e-07	-0.07145019	94.23875	-25.825867	62158.074	-8452.801	0	0	1.6389952	0.0	1.8738767	0.00938647	480000.0	4707.996870994568
