Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.0799345	0.1397346	0.19837421	-0.33474132	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.6294649	0.4338745	1.8718412	-1.2328929	-0.34577313	0.21524061	0.6924102	-1.1527565	-2.746582e-08	0.0283137	-1.8596649e-09	-0.0011970452	0.5272029	-0.5003526	0.144597	-0.13622499	0	0	1.0	1.837877	0.047291864	20000	156.44423699378967
1	-0.0876293	0.11446324	0.13433644	-0.2742556	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.079270855	0.093462355	0.40953907	-0.26308894	-0.049246974	0.057551194	0.19173308	-0.3353227	2.5939942e-08	0.05438136	-9.536743e-11	2.308216e-05	0.015023227	-0.012673256	0.005299173	-0.004069463	0	0	1.0	1.8383032	0.07203146	40000	309.7318150997162
2	-0.057994425	0.18794297	0.3675361	-0.3924729	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0026344948	0.045512117	0.21744698	-0.18770301	-0.007455352	0.034875847	0.18155377	-0.18825635	6.1035155e-09	0.00046611938	-1.66893e-10	1.4407611e-05	0.0024136743	-0.00084032025	0.0013363585	-0.0004936404	0	0	1.0	1.83899	0.0035815286	60000	463.6405658721924
3	-0.09358128	0.18913275	0.3302104	-0.5332858	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.008666683	0.041278627	0.19717777	-0.21524887	-0.0012676886	0.027757537	0.20679621	-0.14796588	8.392334e-09	-0.015123687	-3.0994415e-10	-1.4548302e-05	0.0020371792	-0.00048626412	0.0008387804	-0.00021707173	0	0	79.0	1.8395009	0.0065440903	80000	641.7594332695007
4	-0.0849828	0.13285926	0.25087142	-0.28011838	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.0042576585	0.041968964	0.19258846	-0.1830951	0.00014504947	0.025959471	0.20164315	-0.14094277	-1.6021728e-08	-0.01613917	-2.2649765e-10	-2.2904043e-05	0.0015309717	-0.0003926463	0.0007204351	-0.00017871527	0	0	79.0	1.8163788	0.006860054	100000	820.4727258682251
5	-0.027702564	0.123520575	0.1823723	-0.31443408	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.011046028	0.03476443	0.1389472	-0.25825185	-0.00023078585	0.021656906	0.13581754	-0.14506844	4.577637e-09	0.0036314102	-4.7683715e-11	-5.7840584e-06	0.0015133535	-0.0003546438	0.0004923318	-0.00011120012	0	0	4.0	1.802249	0.013144668	120000	974.1408309936523
6	-0.0070184534	0.15921743	0.34987265	-0.28403276	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0010219191	0.04174359	0.14309913	-0.22074407	-0.00057963334	0.022340339	0.15663868	-0.17548373	-9.155274e-09	-0.0012931427	2.026558e-10	-1.0021108e-05	0.0016081049	-0.00040059583	0.00052454224	-0.0001200687	0	0	1.0	1.8023255	0.002851423	140000	1126.9305226802826
7	0.033472866	0.15343611	0.2560009	-0.30723754	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.00048414088	0.03663861	0.18678807	-0.13242672	0.0010838539	0.01960218	0.13939808	-0.107257284	1.5258789e-09	-0.0017834182	-2.5331975e-10	-1.5662254e-05	0.0013909702	-0.00029542972	0.00040762554	-7.6621596e-05	0	0	1.0	1.8024839	0.0012847561	160000	1279.4867014884949
8	0.045864332	0.086985715	0.15264502	-0.22713934	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0070497934	0.038820267	0.14370528	-0.15367447	0.0007265071	0.018485405	0.106434725	-0.12466874	-7.6293943e-10	-0.001524076	2.503395e-10	-4.6127975e-06	0.0010640519	-0.00019397057	0.00036148133	-7.409821e-05	0	0	1.0	1.8026966	0.0016438515	180000	1435.0376312732697
9	0.13275766	0.17392579	0.56497586	-0.16752	9.7	42.281322	194.0	0.0	1000.0	194.0	0.00097	0.007188047	0.03424883	0.13019668	-0.13744277	0.0011650226	0.018694252	0.15050758	-0.10989486	1.2207031e-08	-0.0017896804	0.0	0.00180448	0.001489935	-0.00037092506	48.747784	-29.075832	0	0	1.0	1.8029933	0.0011992812	200000	1588.560707807541
