Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
14	0.84027517	1.2765923	3.2849	-1.2274469	27.7	42.128494	116.0	0.0	1000.0	6501.0	0.02167	0.07826555	0.30275247	1.0760194	-0.8201289	3.871664	1.6843106	10.274545	-1.7615848	0.030666322	-0.040331908	0.07824796	-0.09198377	0.13420135	-0.038421977	26.283787	-8.10423	0.75904137	-0.0060613155	0.19628707	0.0	1.9266733	0.0086593125	300000.0	1602.3087282180786
15	-0.00026956797	1.6689107	3.914052	-3.5475156	12.6	25.383852	92.0	0.0	1000.0	6753.0	0.021103125	0.08933744	0.3164944	1.1388936	-0.63840306	2.6117306	2.2040105	11.276615	-3.7698	0.0076924833	-0.024714598	0.037920006	-0.018204797	0.12501623	-0.02461322	15.241877	-7.648761	0.75298005	-0.009585381	0.54907805	0.0	1.9259012	0.008618645	320000.0	1714.9938468933105
16	0.1869771	1.68049	3.308159	-3.797369	15.95	27.956171	87.0	0.0	1000.0	7072.0	0.0208	0.010921836	0.3177912	1.0694416	-0.75086266	1.5429531	0.82020783	5.9939847	-1.8640776	-0.0032155663	-0.014626064	-0.00943017	-0.024927275	0.1282694	-0.024905141	11.509365	-4.0107737	0.7433947	-0.01150769	1.162429	0.0	1.9001887	0.00872926	340000.0	1826.4593784809113
17	2.0240045	1.4821999	5.382286	-1.6769631	24.1	39.392765	132.0	0.0	1000.0	7554.0	0.020983333333333333	0.019982876	0.35567504	1.2852232	-0.8428263	1.8170325	1.9168204	13.004287	-2.9223378	0.003775604	-0.032465417	0.00033495482	-0.06529017	0.16984493	-0.06307482	20.911884	-7.235967	0.731887	-0.01065439	0.7212038	0.0	1.8654864	0.008811051	360000.0	1934.1405098438263
18	1.9255129	2.2551389	8.493243	-1.2361711	10.15	24.66835	107.0	0.0	1000.0	7757.0	0.02041315789473684	0.18910386	0.35634074	1.5675654	-0.5013426	2.3005848	1.79485	12.861521	-1.52628	-0.016167881	-0.058938287	-0.036845997	-0.14457378	0.13821733	-0.02342869	10.485957	-4.7400217	0.7212326	-0.013666689	0.3882605	0.0	1.8864009	0.009229661	380000.0	2042.6047759056091
19	1.8234885	1.780185	5.281775	-1.2080498	16.0	25.181341	72.0	0.0	1000.0	8077.0	0.0201925	0.214727	0.34812835	1.4948281	-0.5752911	1.4283493	1.6618255	13.215315	-5.091027	-0.0005673049	-0.018841403	-0.0167199	-0.026513888	0.15814246	-0.035221398	10.463616	-2.847777	0.7075659	-0.014775395	1.0332373	0.0	1.8970484	0.008969497	400000.0	2149.2253744602203
20	3.029421	1.7066007	7.2954497	0.21397926	29.85	52.67948	155.0	0.0	1000.0	8674.0	0.020652380952380953	0.18892008	0.37111095	1.6150924	-0.7546195	1.3517442	1.1434884	10.350236	-3.0138347	0.0072329417	-0.021486737	-0.005216509	-0.029303877	0.20455101	-0.0464582	33.373116	-13.189206	0.6927905	-0.011667967	0.8678041	0.0	1.8971741	0.008634318	420000.0	2253.102826833725
21	2.9474788	2.467216	9.570359	-0.6126873	15.25	32.384987	113.0	0.0	1000.0	8979.0	0.020406818181818182	0.2871711	0.36270624	1.8209275	-0.510226	3.5969772	2.3634531	14.046632	-2.3040018	-0.024211243	-0.020181699	-0.06538423	-0.041196823	0.19614817	-0.046077784	20.182148	-10.088881	0.68112254	-0.01314193	0.680857	0.0	1.8917089	0.009549758	440000.0	2354.8485774993896
22	4.138472	3.5565093	13.519732	-1.1948267	23.25	33.33748	118.0	0.0	1000.0	9444.0	0.020530434782608697	0.29943648	0.3776577	2.0991285	-0.7384631	1.8553625	1.1102916	7.954921	-3.285036	-0.62616384	-0.4635448	0.36394587	0.300608	0.3842671	-0.12446831	17.389381	-4.448134	0.6679806	-0.012322962	0.015921481	0.0	1.875472	0.009653323	460000.0	2456.3587963581085
23	2.8693128	2.1057153	7.7012787	-0.37707227	31.1	44.859673	124.0	0.0	1000.0	10066.0	0.020970833333333334	0.42690253	0.41869554	2.4758296	-0.6197536	2.3146656	1.4835386	10.214041	-2.3684022	0.040289383	-0.03993518	-0.02063346	0.0015471354	0.24145913	-0.075142905	25.094728	-8.644775	0.65565765	-0.009162426	0.28650767	0.0	1.8717414	0.008424185	480000.0	2557.8776614665985
24	3.7031338	2.9503694	8.250436	-2.7412763	29.65	41.098995	114.0	0.0	1000.0	10659.0	0.021318	0.3032719	0.35968527	1.9486537	-0.7086162	2.817997	1.9059534	11.273145	-2.514558	0.014082283	-0.029780671	0.025249377	-0.06762949	0.27654725	-0.07095056	24.418697	-8.7114525	0.6464952	-0.006842792	0.6498117	0.0	1.8558185	0.009068422	500000.0	2664.64750957489
25	2.754277	2.566981	8.640465	-2.9130168	18.4	33.332268	119.0	0.0	1000.0	11027.0	0.02120576923076923	0.37418705	0.41116437	2.2920713	-0.5946689	3.5000875	2.057909	11.427904	-2.1346726	-0.0083005605	-0.021637324	0.0005945191	-0.024520228	0.2044267	-0.06178648	20.237411	-9.867142	0.63965243	-0.008054495	0.97740716	0.0	1.8612335	0.0091465525	520000.0	2773.9462027549744
26	3.5625312	1.6557996	7.554103	1.0542951	10.45	22.670408	89.0	0.0	1000.0	11236.0	0.020807407407407406	0.3392501	0.3949035	2.3322334	-0.60689706	1.7782223	1.532632	10.280049	-2.441042	-0.010159358	-0.029184753	-0.01304137	-0.017536651	0.15506265	-0.041150786	11.492185	-5.161988	0.63159794	-0.010948956	1.0009714	0.0	1.845789	0.009200443	540000.0	2891.893776655197
27	4.1790857	3.7595701	9.945459	-4.79068	17.8	26.796642	104.0	0.0	1000.0	11592.0	0.0207	0.35359162	0.37274265	2.5877044	-0.37027702	0.9257491	1.0954107	7.466495	-4.5366015	-0.07378521	-0.2860062	-0.022901319	-0.18424836	0.4076565	-0.1537712	13.867222	-5.259304	0.620649	-0.011711657	0.08554419	0.0	1.8549438	0.008964289	560000.0	3009.769338130951
28	13.786931	31.605087	110.58697	-2.1660595	10.55	22.972754	105.0	0.0	1000.0	11803.0	0.02035	0.37207592	0.47878727	2.640431	-0.80404013	1.8173106	1.3291041	7.755065	-2.7294483	0.0038440302	-0.09730156	-0.08983822	-0.2212107	53.7036	-22.516283	8.858419	-3.8004296	0.6089373	-0.013822913	0.17833209	0.0	1.8615291	0.0091415495	580000.0	3116.955506801605
29	8.616324	23.31398	109.63966	-1.2021317	11.05	26.984207	121.0	0.0	1000.0	12024.0	0.02004	1.1182047	2.7205288	26.018236	-7.678656	0.8251333	1.0147197	6.908819	-2.666614	-0.011246882	-0.11573373	-0.0522969	-0.15651599	30.578331	-21.836536	11.269988	-4.8635893	0.5951144	-0.015383303	0.43602055	0.0	1.8547103	0.009780224	600000.0	3247.680520772934
30	6.0398893	3.6055076	12.431339	0.311038	29.0	40.358395	112.0	0.0	1000.0	12604.0	0.020329032258064515	0.9656597	2.339621	35.935825	-9.355858	1.2193482	1.5675443	10.212013	-2.8130777	-0.14905366	-0.20274237	-0.4176554	-0.42190886	5.706991	-4.972126	30.312374	-13.040449	0.5797311	-0.012729347	0.07025309	0.0	1.8778398	0.009355428	620000.0	3364.221213579178
31	9.479909	22.315765	105.79805	-0.86679775	27.95	43.50342	159.0	0.0	1000.0	13163.0	0.0205671875	0.69615906	0.72115713	9.458626	-3.2437148	2.6974318	1.6208584	10.36909	-1.9515071	0.20467699	-0.16654462	0.5101679	-0.41399541	25.670107	-14.975247	29.742832	-10.705738	0.56700176	-0.01067102	0.053535674	0.0	1.8595695	0.009076273	640000.0	3485.1861441135406
32	4.355194	2.2917514	8.830627	-0.2600351	29.3	41.84746	136.0	0.0	1000.0	13749.0	0.02083181818181818	0.86971366	2.338446	35.645645	-19.35829	3.133442	2.0384617	15.3585615	-3.6198835	-0.0044646487	-0.02784138	-0.031847257	-0.043888193	5.871133	-5.591567	25.74731	-10.945295	0.55633074	-0.008502543	0.73080415	0.0	1.8552723	0.008945288	660000.0	3612.055706501007
33	4.0248003	3.2678673	9.483753	-2.8082123	29.5	39.782536	143.0	0.0	1000.0	14339.0	0.021086764705882353	0.4702121	0.53131914	7.5433292	-10.046766	3.1069696	2.2150655	14.341554	-2.6926117	0.011437178	-0.029168565	0.0013477355	-0.05742544	0.45849353	-0.1502387	23.830338	-12.595756	0.5478282	-0.0065291524	0.69925773	0.0	1.8529313	0.00914079	680000.0	3726.5512001514435
34	8.640325	22.811981	107.11178	-3.6768196	34.65	42.737892	128.0	0.0	1000.0	15032.0	0.021474285714285713	0.40753227	0.44893837	5.6494455	-2.7009485	3.3087914	2.5960624	18.084682	-2.5526311	-0.6640216	-0.6108936	-1.879633	-1.7421559	25.443228	-8.963712	25.292156	-13.591274	0.54129905	-0.0034596324	0.026298737	0.0	1.8705268	0.009612545	700000.0	3848.5046770572662
35	4.404517	3.653653	12.101536	-3.0015254	26.75	42.83442	149.0	0.0	1000.0	15567.0	0.021620833333333332	0.90954715	1.6443795	15.67448	-5.356053	3.777476	2.4832945	15.427489	-2.8597023	0.008025503	-0.050349288	0.043760523	-0.117457785	2.9842978	-2.6344357	30.089293	-17.072206	0.5378394	-0.002707541	0.6200191	0.0	1.8623695	0.009170104	720000.0	3988.2738194465637
36	5.0619216	3.143531	12.310147	0.009161664	39.05	47.939	169.0	0.0	1000.0	16348.0	0.022091891891891893	0.49001408	0.57723045	6.8082457	-5.499573	2.898752	2.2488308	16.416626	-3.81309	0.06472427	-0.0841191	0.21311587	-0.27327514	0.5304227	-0.13951106	34.74457	-18.108715	0.5351319	0.0009716153	0.10960165	0.0	1.8921919	0.00894486	740000.0	4105.898181915283
37	16.83318	31.051626	109.589935	-0.04373214	31.75	66.094536	292.0	0.0	1000.0	16983.0	0.022346052631578947	0.5029646	0.5638229	5.4585514	-6.545669	4.1968355	3.2064772	19.775406	-4.3069353	-0.005518675	-0.027329918	-0.0269996	-0.06896319	51.832775	-20.852188	67.90042	-51.89696	0.5361035	0.0024979115	0.7907046	0.0	1.872711	0.00911678	760000.0	4219.939153671265
