Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
14	-209.12393	64.272644	-91.07069	-345.7191	673.0	1253.1523	3770.0	0.0	1000.0	267190.0	0.8906333333333334	-24.56518	2.5685709	-10.315276	-30.263805	78.285706	14.5071945	88.98298	-45.807934	7.629395e-09	-0.012616607	-1.5625e-06	-0.027190039	54.374393	-15.451645	27466.727	-693.3887	0	0	1.606566	0.0	1.9347935	0.008755942	300000.0	2908.650071620941
15	-292.30984	134.28351	-91.81012	-511.7113	664.0	1520.9089	6690.0	0.0	1000.0	280470.0	0.87646875	-21.352896	2.3150177	-1.3245438	-27.420862	76.07517	13.299336	82.99036	-62.091896	6.713867e-08	-0.012487784	7.8125e-07	0.056231834	219.7704	-57.638138	30697.594	-1245.373	0	0	1.5814599	0.0	1.9166476	0.009068045	320000.0	3102.8616967201233
16	-248.8151	97.82194	-70.100494	-477.92963	448.5	682.40216	2130.0	0.0	1000.0	289440.0	0.8512941176470589	-28.122856	2.7625961	2.885783	-33.341522	59.930676	24.32157	88.201584	-60.614204	-1.8310548e-08	-0.014254989	4.882813e-07	-0.09078399	104.566986	-18.540436	14897.7295	-1033.5469	0	0	1.4060863	0.0	1.9052894	0.008839614	340000.0	3296.1686730384827
17	-287.0158	125.72974	-97.412575	-574.5204	1221.5	1914.9811	6190.0	0.0	1000.0	313870.0	0.8718611111111111	-25.326113	2.9251251	2.313685	-32.31333	47.404926	28.555754	90.86523	-36.33894	2.746582e-08	-0.01276531	7.8125e-07	-0.09578282	154.85394	-19.801086	49677.79	-5945.4766	0	0	1.5294037	0.0	1.9227872	0.009316876	360000.0	3490.041235923767
18	-228.6377	79.205894	-74.32052	-358.39142	198.0	414.28976	1740.0	0.0	1000.0	317830.0	0.8363947368421053	-27.757025	3.7773519	10.539625	-35.730602	100.57249	19.86426	112.71985	-54.364258	1.2207031e-08	-0.01253797	4.882813e-07	-0.06329913	89.216515	-29.040188	13284.063	-5918.4404	0	0	1.6514385	0.0	1.881233	0.009219514	380000.0	3683.435842037201
19	-297.4127	124.79086	-88.3508	-570.65594	593.5	1101.4775	4220.0	0.0	1000.0	329700.0	0.82425	-23.528852	2.7332191	-1.3107042	-32.61936	25.405653	9.930456	91.01388	-77.07746	-4.8828124e-08	-0.013533301	-3.90625e-07	0.19492733	168.79027	-46.44654	24103.562	-1316.082	0	0	1.4618369	0.0	1.886185	0.00913037	400000.0	3876.237603664398
20	-298.47845	162.5766	-70.04984	-610.89435	1183.0	1544.8789	5980.0	0.0	1000.0	353360.0	0.8413333333333334	-28.779768	4.382845	9.8546295	-36.76131	50.814705	5.655628	107.51197	-58.574604	1.2207031e-08	-0.013045233	-3.90625e-06	-0.19298673	245.32558	-66.462555	48915.51	-4228.1016	0	0	1.539893	0.0	1.8840995	0.009003528	420000.0	4070.3660781383514
21	-322.08182	91.62228	-183.98796	-568.6478	487.0	1063.4994	3090.0	0.0	1000.0	363100.0	0.8252272727272727	-28.88601	6.4858265	-3.8206818	-43.603428	103.24185	12.064696	126.82734	-32.701477	-2.2888185e-09	-0.012639434	1.171875e-06	-0.040585745	120.855515	-45.318268	21374.041	-2380.666	0	0	1.5910102	0.0	1.8796289	0.009247503	440000.0	4264.47895526886
22	-264.08478	110.54697	-95.68871	-550.33325	369.0	810.308	3110.0	0.0	1000.0	370480.0	0.8053913043478261	-31.010775	4.149094	-6.4176445	-40.666367	55.84324	16.03673	96.30006	-47.70911	-6.1035155e-09	-0.0131134335	-3.90625e-07	-0.009167871	142.72958	-45.33168	10728.76	-744.4961	0	0	1.5194243	0.0	1.8623996	0.009385417	460000.0	4459.05385684967
23	-253.30513	95.28943	-1.3144836	-401.8794	1412.5	1825.8748	5010.0	0.0	1000.0	398730.0	0.8306875	-27.229206	4.4619985	0.3256327	-38.75377	42.75778	13.978452	68.632675	-55.141525	1.8310548e-08	-0.013298694	3.90625e-07	-0.09426396	110.933365	-33.0587	66120.016	-8231.184	0	0	1.519356	0.0	1.8576127	0.0092878835	480000.0	4653.476361989975
24	-240.96729	99.08726	-33.64222	-370.0821	505.5	933.39417	3910.0	0.0	1000.0	408840.0	0.81768	-25.9578	4.730004	-1.4079151	-40.856274	109.91876	7.142711	128.8976	-11.4744835	-1.2207031e-08	-0.012171698	-7.8125e-07	-0.030250002	141.2075	-42.69713	20050.72	-2876.371	0	0	1.6294057	0.0	1.8619702	0.008924168	500000.0	4848.570466756821
25	-245.21835	98.99279	-77.70779	-450.79697	917.5	1097.7244	3580.0	0.0	1000.0	427190.0	0.8215192307692307	-23.188498	6.2538295	5.3349032	-39.751656	63.662174	19.701199	96.755135	-44.437046	-3.051758e-08	-0.013098521	5.859375e-07	0.037373632	97.337166	-31.303024	26946.055	-1500.3203	0	0	1.5010297	0.0	1.8662765	0.0091833705	520000.0	5043.401066303253
26	-242.7208	159.21106	-9.515783	-595.70013	1382.5	1948.7583	7030.0	0.0	1000.0	454840.0	0.8422962962962963	-24.239548	5.6145673	-0.42223138	-41.90798	87.36503	9.058291	117.97202	-16.05407	-1.0681152e-08	-0.014464873	1.5625e-06	-0.11676172	236.18124	-96.80739	64764.543	-3889.8086	0	0	1.4372381	0.0	1.847367	0.008900117	540000.0	5241.806245803833
27	-232.63913	99.44872	-120.78313	-428.28674	510.5	1340.8673	5310.0	0.0	1000.0	465050.0	0.8304464285714286	-23.889133	10.298668	9.087271	-51.519012	117.23606	10.37166	134.65436	-4.769844	7.629395e-09	-0.01430267	0.0	0.013660156	125.0718	-69.7646	30703.818	-3662.084	0	0	1.3934473	0.0	1.8687339	0.008946778	560000.0	5436.389153242111
28	-243.76758	105.56915	-72.49091	-490.57892	754.0	1171.044	4280.0	0.0	1000.0	480130.0	0.8278103448275862	-23.717424	7.0740366	-3.0719442	-46.74045	55.2872	22.019646	116.9773	-59.175163	-3.0517577e-09	-0.012519612	-3.90625e-07	0.15478241	104.38485	-43.277256	33011.69	-1471.7715	0	0	1.5875905	0.0	1.8811281	0.009289174	580000.0	5630.484070777893
29	-257.17944	140.59045	35.70462	-525.3955	1700.5	2156.8948	6470.0	0.0	1000.0	514140.0	0.8569	-23.912008	6.2633395	-4.8769994	-46.75746	72.86836	19.995777	108.77363	-11.379294	-1.525879e-08	-0.011870082	2.34375e-06	0.034064844	213.8423	-107.11282	89858.1	-9583.148	0	0	1.6698328	0.0	1.8591617	0.008796201	600000.0	5824.720224618912
30	-265.04175	132.26987	-44.893642	-542.8662	700.0	1187.291	4380.0	0.0	1000.0	528140.0	0.8518387096774194	-24.604706	10.029338	12.103086	-57.484695	146.79913	5.4882793	153.4776	42.53451	6.1035155e-09	-0.014184769	-1.5625e-06	-0.020581054	219.42865	-110.38642	29307.488	-4503.9414	0	0	1.4359939	0.0	1.8511856	0.009232614	620000.0	6019.258645296097
31	-262.49078	92.47754	-47.293926	-499.82117	731.0	1162.2946	3900.0	0.0	1000.0	542760.0	0.8480625	-25.33376	8.272696	7.2298903	-50.882137	84.62911	18.571371	128.88074	-41.60451	0.0	-0.014214685	0.0	0.022989843	143.44202	-60.93667	20747.324	-798.5078	0	0	1.4277792	0.0	1.8463768	0.00899771	640000.0	6212.368176937103
32	-248.27652	110.91912	-98.33199	-452.82352	705.5	970.4405	3280.0	0.0	1000.0	556870.0	0.8437424242424243	-25.293104	7.0331497	3.9828782	-46.22606	69.31184	20.054007	120.68718	-49.542347	1.449585e-08	-0.012263648	-9.765625e-07	0.03700332	101.64918	-47.187027	17217.402	-958.3496	0	0	1.616178	0.0	1.8304586	0.009277458	660000.0	6405.679364681244
33	-219.37373	103.882515	-39.007282	-396.75232	1692.5	1796.9803	4760.0	0.0	1000.0	590720.0	0.8687058823529412	-24.000212	7.7817445	1.1105417	-51.040565	67.840065	15.053678	101.57991	7.359125	-1.525879e-08	-0.012529098	-3.90625e-07	0.048947267	122.391174	-52.245384	81512.305	-9847.203	0	0	1.5625805	0.0	1.8118978	0.009561554	680000.0	6599.4291825294495
